category_main,category_main_id,category_sub,category_sub_id,category_detail,category_detail_id
스킨케어,10000010001,스킨/토너,100000100010013,스킨/토너,1000001000100130001
스킨케어,10000010001,에센스/세럼/앰플,100000100010014,에센스/세럼/앰플,1000001000100140001
스킨케어,10000010001,크림,100000100010015,크림,1000001000100150001
스킨케어,10000010001,크림,100000100010015,아이크림,1000001000100150002
스킨케어,10000010001,로션,100000100010016,로션,1000001000100160001
스킨케어,10000010001,로션,100000100010016,올인원,1000001000100160002
스킨케어,10000010001,미스트/오일,100000100010010,미스트/픽서,1000001000100100001
스킨케어,10000010001,미스트/오일,100000100010010,페이스오일,1000001000100100002
스킨케어,10000010001,스킨케어세트,100000100010017,스킨케어세트,1000001000100170001
스킨케어,10000010001,스킨케어 디바이스,100000100010018,스킨케어 디바이스,1000001000100180001
마스크팩,10000010009,시트팩,100000100090001,시트팩,1000001000900010001
마스크팩,10000010009,패드,100000100090004,패드,1000001000900040001
마스크팩,10000010009,페이셜팩,100000100090002,워시오프팩,1000001000900020001
마스크팩,10000010009,페이셜팩,100000100090002,모델링팩,1000001000900020004
마스크팩,10000010009,페이셜팩,100000100090002,필오프팩,1000001000900020005
마스크팩,10000010009,페이셜팩,100000100090002,슬리핑팩,1000001000900020002
마스크팩,10000010009,코팩,100000100090005,코팩,1000001000900050001
마스크팩,10000010009,패치,100000100090006,패치,1000001000900060001
클렌징,10000010010,클렌징폼/젤,100000100100001,클렌징폼/젤,1000001001000010001
클렌징,10000010010,클렌징폼/젤,100000100100001,팩클렌저,1000001001000010003
클렌징,10000010010,클렌징폼/젤,100000100100001,클렌징 비누,1000001001000010002
클렌징,10000010010,오일/밤,100000100100004,클렌징오일,1000001001000040001
클렌징,10000010010,오일/밤,100000100100004,클렌징밤,1000001001000040002
클렌징,10000010010,워터/밀크,100000100100005,클렌징워터,1000001001000050003
클렌징,10000010010,워터/밀크,100000100100005,클렌징밀크/크림,1000001001000050001
클렌징,10000010010,필링&스크럽,100000100100007,페이셜스크럽,1000001001000070002
클렌징,10000010010,필링&스크럽,100000100100007,피지클리너,1000001001000070001
클렌징,10000010010,필링&스크럽,100000100100007,파우더워시,1000001001000070003
클렌징,10000010010,티슈/패드,100000100100008,클렌징티슈/패드,1000001001000080001
클렌징,10000010010,립&아이리무버,100000100100006,립&아이리무버,1000001001000060001
클렌징,10000010010,클렌징 디바이스,100000100100009,클렌징 디바이스,1000001001000090001
선케어,10000010011,선크림,100000100110006,선크림,1000001001100060001
선케어,10000010011,선스틱,100000100110003,선스틱,1000001001100030001
선케어,10000010011,선쿠션,100000100110004,선쿠션,1000001001100040001
선케어,10000010011,선쿠션,100000100110004,선파우더,1000001001100040002
선케어,10000010011,선스프레이/선패치,100000100110005,선스프레이,1000001001100050002
선케어,10000010011,선스프레이/선패치,100000100110005,선패치,1000001001100050001
선케어,10000010011,태닝/애프터선,100000100110002,태닝,1000001001100020001
선케어,10000010011,태닝/애프터선,100000100110002,애프터선,1000001001100020002
메이크업,10000010002,립메이크업,100000100020006,립틴트,1000001000200060003
메이크업,10000010002,립메이크업,100000100020006,립스틱,1000001000200060004
메이크업,10000010002,립메이크업,100000100020006,립라이너,1000001000200060006
메이크업,10000010002,립메이크업,100000100020006,립케어,1000001000200060001
메이크업,10000010002,립메이크업,100000100020006,컬러립밤,1000001000200060007
메이크업,10000010002,립메이크업,100000100020006,립글로스,1000001000200060002
메이크업,10000010002,베이스메이크업,100000100020001,쿠션,1000001000200010009
메이크업,10000010002,베이스메이크업,100000100020001,파운데이션,1000001000200010002
메이크업,10000010002,베이스메이크업,100000100020001,블러셔,1000001000200010006
메이크업,10000010002,베이스메이크업,100000100020001,파우더/팩트,1000001000200010004
메이크업,10000010002,베이스메이크업,100000100020001,컨실러,1000001000200010005
메이크업,10000010002,베이스메이크업,100000100020001,프라이머/베이스,1000001000200010003
메이크업,10000010002,베이스메이크업,100000100020001,쉐이딩,1000001000200010007
메이크업,10000010002,베이스메이크업,100000100020001,하이라이터,1000001000200010008
메이크업,10000010002,베이스메이크업,100000100020001,메이크업 픽서,1000001000200010010
메이크업,10000010002,베이스메이크업,100000100020001,BB/CC,1000001000200010001
메이크업,10000010002,아이메이크업,100000100020007,아이라이너,1000001000200070002
메이크업,10000010002,아이메이크업,100000100020007,마스카라,1000001000200070001
메이크업,10000010002,아이메이크업,100000100020007,아이브로우,1000001000200070004
메이크업,10000010002,아이메이크업,100000100020007,아이섀도우,1000001000200070003
메이크업,10000010002,아이메이크업,100000100020007,아이래쉬 케어,1000001000200070007
메이크업,10000010002,아이메이크업,100000100020007,아이 픽서,1000001000200070008
뷰티소품,10000010006,메이크업소품,100000100060001,퍼프,1000001000600010005
뷰티소품,10000010006,메이크업소품,100000100060001,브러시,1000001000600010007
뷰티소품,10000010006,메이크업소품,100000100060001,스펀지,1000001000600010006
뷰티소품,10000010006,메이크업소품,100000100060001,툴 클렌징,1000001000600010010
뷰티소품,10000010006,메이크업소품,100000100060001,뷰티소품 기타,1000001000600010009
뷰티소품,10000010006,아이소품,100000100060007,속눈썹/쌍꺼풀,1000001000600070002
뷰티소품,10000010006,아이소품,100000100060007,뷰러,1000001000600070001
뷰티소품,10000010006,아이소품,100000100060007,눈썹관리 도구,1000001000600070003
뷰티소품,10000010006,스킨케어소품,100000100060006,얼굴관리도구,1000001000600060005
뷰티소품,10000010006,스킨케어소품,100000100060006,팩/세안도구,1000001000600060004
뷰티소품,10000010006,스킨케어소품,100000100060006,기름종이,1000001000600060003
뷰티소품,10000010006,스킨케어소품,100000100060006,화장솜,1000001000600060001
뷰티소품,10000010006,스킨케어소품,100000100060006,면봉,1000001000600060002
뷰티소품,10000010006,헤어소품,100000100060002,헤어브러시,1000001000600020002
뷰티소품,10000010006,헤어소품,100000100060002,스타일링소품,1000001000600020005
뷰티소품,10000010006,헤어소품,100000100060002,헤어소품 기타,1000001000600020006
뷰티소품,10000010006,네일/바디소품,100000100060003,네일용품,1000001000600030001
뷰티소품,10000010006,네일/바디소품,100000100060003,바디용품,1000001000600030004
뷰티소품,10000010006,뷰티잡화,100000100060005,공용기,1000001000600050003
뷰티소품,10000010006,뷰티잡화,100000100060005,파우치,1000001000600050008
뷰티소품,10000010006,뷰티잡화,100000100060005,거울,1000001000600050009
더모 코스메틱,10000010008,스킨케어,100000100080013,로션/크림/올인원,1000001000800130001
더모 코스메틱,10000010008,스킨케어,100000100080013,에센스/세럼,1000001000800130005
더모 코스메틱,10000010008,스킨케어,100000100080013,스킨/토너,1000001000800130002
더모 코스메틱,10000010008,스킨케어,100000100080013,아이크림,1000001000800130004
더모 코스메틱,10000010008,스킨케어,100000100080013,미스트/오일,1000001000800130006
더모 코스메틱,10000010008,바디케어,100000100080004,로션/크림/오일(밤),1000001000800040005
더모 코스메틱,10000010008,바디케어,100000100080004,워시,1000001000800040006
더모 코스메틱,10000010008,바디케어,100000100080004,청결제,1000001000800040002
더모 코스메틱,10000010008,바디케어,100000100080004,립케어,1000001000800040003
더모 코스메틱,10000010008,바디케어,100000100080004,핸드크림,1000001000800040004
더모 코스메틱,10000010008,바디케어,100000100080004,데오/미스트,1000001000800040001
더모 코스메틱,10000010008,클렌징,100000100080006,클렌징워터/티슈,1000001000800060007
더모 코스메틱,10000010008,클렌징,100000100080006,클렌징폼/젤,1000001000800060005
더모 코스메틱,10000010008,클렌징,100000100080006,클렌징 오일/밀크,1000001000800060004
더모 코스메틱,10000010008,클렌징,100000100080006,필링/스크럽,1000001000800060003
더모 코스메틱,10000010008,선케어,100000100080005,선크림/선로션,1000001000800050004
더모 코스메틱,10000010008,선케어,100000100080005,선스틱,1000001000800050003
더모 코스메틱,10000010008,마스크팩,100000100080011,마스크/패드,1000001000800110001
맨즈케어,10000010007,스킨케어,100000100070007,올인원,1000001000700070006
맨즈케어,10000010007,스킨케어,100000100070007,스킨/로션/세럼,1000001000700070013
맨즈케어,10000010007,스킨케어,100000100070007,클렌징/선크림/팩,1000001000700070014
맨즈케어,10000010007,스킨케어,100000100070007,스킨케어 세트,1000001000700070012
맨즈케어,10000010007,메이크업,100000100070008,톤 로션/BB,1000001000700080015
맨즈케어,10000010007,메이크업,100000100070008,쿠션/파운데이션,1000001000700080011
맨즈케어,10000010007,메이크업,100000100070008,쉐딩/파우더/기름종이,1000001000700080012
맨즈케어,10000010007,메이크업,100000100070008,컬러립밤/보습립밤,1000001000700080013
맨즈케어,10000010007,메이크업,100000100070008,아이브로우,1000001000700080014
맨즈케어,10000010007,쉐이빙/왁싱,100000100070010,면도기/면도날,1000001000700100001
맨즈케어,10000010007,쉐이빙/왁싱,100000100070010,전기면도기,1000001000700100002
맨즈케어,10000010007,쉐이빙/왁싱,100000100070010,쉐이빙 폼/젤 크림,1000001000700100003
맨즈케어,10000010007,쉐이빙/왁싱,100000100070010,애프터쉐이브,1000001000700100005
맨즈케어,10000010007,쉐이빙/왁싱,100000100070010,멀티트리머,1000001000700100006
맨즈케어,10000010007,쉐이빙/왁싱,100000100070010,제모/왁싱,1000001000700100007
맨즈케어,10000010007,바디케어,100000100070011,바디워시/로션,1000001000700110006
맨즈케어,10000010007,바디케어,100000100070011,데오/바디미스트,1000001000700110007
맨즈케어,10000010007,바디케어,100000100070011,남성청결제,1000001000700110010
맨즈케어,10000010007,헤어케어,100000100070009,스프레이/왁스/젤,1000001000700090013
맨즈케어,10000010007,헤어케어,100000100070009,오일/토닉/컬크림,1000001000700090014
맨즈케어,10000010007,헤어케어,100000100070009,헤어기기,1000001000700090015
맨즈케어,10000010007,헤어케어,100000100070009,염색/다운펌,1000001000700090012
맨즈케어,10000010007,헤어케어,100000100070009,샴푸/린스,1000001000700090011
맨즈케어,10000010007,프래그런스,100000100070017,향수,1000001000700170001
맨즈케어,10000010007,프래그런스,100000100070017,바디 스프레이,1000001000700170005
맨즈케어,10000010007,프래그런스,100000100070017,방향/탈취,1000001000700170004
맨즈케어,10000010007,프래그런스,100000100070017,차량용 방향제,1000001000700170006
맨즈케어,10000010007,패션/취미,100000100070018,니플패치/언더웨어,1000001000700180001
맨즈케어,10000010007,패션/취미,100000100070018,양말/깔창,1000001000700180002
맨즈케어,10000010007,패션/취미,100000100070018,자동차 용품,1000001000700180003
맨즈케어,10000010007,패션/취미,100000100070018,생활청소용품,1000001000700180004
맨즈케어,10000010007,헬스용품/식품,100000100070019,헬스 용품,1000001000700190001
맨즈케어,10000010007,헬스용품/식품,100000100070019,프로틴,1000001000700190002
맨즈케어,10000010007,헬스용품/식품,100000100070019,부스터,1000001000700190003
맨즈케어,10000010007,헬스용품/식품,100000100070019,헬스식품 기타,1000001000700190004
헤어케어,10000010004,샴푸/린스,100000100040008,샴푸,1000001000400080001
헤어케어,10000010004,샴푸/린스,100000100040008,린스/컨디셔너,1000001000400080002
헤어케어,10000010004,샴푸/린스,100000100040008,드라이샴푸,1000001000400080005
헤어케어,10000010004,샴푸/린스,100000100040008,스케일러,1000001000400080006
헤어케어,10000010004,트리트먼트/팩,100000100040007,헤어 트리트먼트,1000001000400070005
헤어케어,10000010004,트리트먼트/팩,100000100040007,노워시 트리트먼트,1000001000400070006
헤어케어,10000010004,두피앰플/토닉,100000100040014,헤어토닉/두피토닉,1000001000400140001
헤어케어,10000010004,헤어에센스,100000100040013,헤어세럼,1000001000400130005
헤어케어,10000010004,헤어에센스,100000100040013,헤어오일,1000001000400130006
헤어케어,10000010004,염색약/펌,100000100040010,컬러염색/탈색,1000001000400100008
헤어케어,10000010004,염색약/펌,100000100040010,새치염색,1000001000400100007
헤어케어,10000010004,염색약/펌,100000100040010,헤어메이크업,1000001000400100006
헤어케어,10000010004,염색약/펌,100000100040010,파마,1000001000400100003
헤어케어,10000010004,헤어기기/브러시,100000100040004,고데기,1000001000400040008
헤어케어,10000010004,헤어기기/브러시,100000100040004,드라이기,1000001000400040009
헤어케어,10000010004,헤어기기/브러시,100000100040004,헤어 브러시,1000001000400040010
헤어케어,10000010004,스타일링,100000100040011,컬크림/컬링에센스,1000001000400110003
헤어케어,10000010004,스타일링,100000100040011,왁스/젤/무스/토닉,1000001000400110001
헤어케어,10000010004,스타일링,100000100040011,스프레이/픽서,1000001000400110002
바디케어,10000010003,샤워/입욕,100000100030005,바디워시,1000001000300050001
바디케어,10000010003,샤워/입욕,100000100030005,바디스크럽,1000001000300050002
바디케어,10000010003,샤워/입욕,100000100030005,입욕제,1000001000300050003
바디케어,10000010003,샤워/입욕,100000100030005,비누,1000001000300050004
바디케어,10000010003,로션/오일/미스트,100000100030022,로션/크림,1000001000300220001
바디케어,10000010003,로션/오일/미스트,100000100030022,바디미스트,1000001000300220002
바디케어,10000010003,로션/오일/미스트,100000100030022,바디오일,1000001000300220003
바디케어,10000010003,핸드케어,100000100030016,핸드크림,1000001000300160002
바디케어,10000010003,핸드케어,100000100030016,핸드워시,1000001000300160001
바디케어,10000010003,풋케어,100000100030024,풋크림,1000001000300240001
바디케어,10000010003,풋케어,100000100030024,풋삼푸,1000001000300240002
바디케어,10000010003,풋케어,100000100030024,발냄새제거제,1000001000300240003
바디케어,10000010003,풋케어,100000100030024,발각질제거제,1000001000300240004
바디케어,10000010003,풋케어,100000100030024,발관리용품,1000001000300240005
바디케어,10000010003,제모/왁싱,100000100030019,면도기/면도날,1000001000300190002
바디케어,10000010003,제모/왁싱,100000100030019,제모크림,1000001000300190001
바디케어,10000010003,제모/왁싱,100000100030019,스트립/왁스,1000001000300190003
바디케어,10000010003,제모/왁싱,100000100030019,제모기기,1000001000300190004
바디케어,10000010003,제모/왁싱,100000100030019,남성 쉐이빙,1000001000300190005
바디케어,10000010003,데오드란트,100000100030012,데오스틱,1000001000300120006
바디케어,10000010003,데오드란트,100000100030012,데오롤온,1000001000300120007
바디케어,10000010003,데오드란트,100000100030012,데오스프레이,1000001000300120004
바디케어,10000010003,데오드란트,100000100030012,쿨링/데오시트,1000001000300120005
바디케어,10000010003,선물세트,100000100030017,핸드 선물세트,1000001000300170004
바디케어,10000010003,선물세트,100000100030017,바디 선물세트,1000001000300170002
바디케어,10000010003,베이비,100000100030020,보습,1000001000300200001
바디케어,10000010003,베이비,100000100030020,세정,1000001000300200002
바디케어,10000010003,베이비,100000100030020,선케어,1000001000300200003
향수/디퓨저,10000010005,향수,100000100050013,여성향수,1000001000500130001
향수/디퓨저,10000010005,향수,100000100050013,남성향수,1000001000500130002
